#topic doc name proportion ...
0 35446 K_Ya+b.xml_001A6|4970 0.117647
0 35430 K_Ya+b.xml_001A6|4888 0.117647
0 34956 K_Ya+b.xml_001A6|2434 0.117647
0 34675 K_Ya+b.xml_001A6|1032 0.117647
0 34507 K_Ya+b.xml_001A6|190 0.117647
1 35388 K_Ya+b.xml_001A6|4654 0.117647
1 35214 K_Ya+b.xml_001A6|3806 0.117647
1 35050 K_Ya+b.xml_001A6|2942 0.117647
1 34927 K_Ya+b.xml_001A6|2281 0.117647
1 33109 K_ToddlerPP252527s+fractur.xml_001A4|550 0.117647
2 35863 K_Ya+b.xml_001A6|7320 0.117647
2 35546 K_Ya+b.xml_001A6|5531 0.117647
2 35289 K_Ya+b.xml_001A6|4221 0.117647
2 35086 K_Ya+b.xml_001A6|3130 0.117647
2 34688 K_Ya+b.xml_001A6|1090 0.117647
3 36051 K_Ya+b.xml_001A6|8333 0.117647
3 36031 K_Ya+b.xml_001A6|8244 0.117647
3 36023 K_Ya+b.xml_001A6|8205 0.117647
3 36013 K_Ya+b.xml_001A6|8160 0.117647
3 36011 K_Ya+b.xml_001A6|8151 0.117647
4 35445 K_Ya+b.xml_001A6|4962 0.117647
4 35370 K_Ya+b.xml_001A6|4574 0.117647
4 34966 K_Ya+b.xml_001A6|2491 0.117647
4 34602 K_Ya+b.xml_001A6|704 0.117647
4 34384 K_White+coat+hypertensio.xml_001A5|5467 0.117647
5 35928 K_Ya+b.xml_001A6|7666 0.117647
5 35042 K_Ya+b.xml_001A6|2893 0.117647
5 35000 K_Ya+b.xml_001A6|2654 0.117647
5 34816 K_Ya+b.xml_001A6|1771 0.117647
5 34623 K_Ya+b.xml_001A6|807 0.117647
6 36047 K_Ya+b.xml_001A6|8322 0.117647
6 36041 K_Ya+b.xml_001A6|8296 0.117647
6 35761 K_Ya+b.xml_001A6|6770 0.117647
6 35360 K_Ya+b.xml_001A6|4553 0.117647
6 35054 K_Ya+b.xml_001A6|2965 0.117647
7 36024 K_Ya+b.xml_001A6|8208 0.117647
7 35614 K_Ya+b.xml_001A6|5965 0.117647
7 35218 K_Ya+b.xml_001A6|3828 0.117647
7 35056 K_Ya+b.xml_001A6|2982 0.117647
7 35002 K_Ya+b.xml_001A6|2663 0.117647
8 36029 K_Ya+b.xml_001A6|8238 0.117647
8 36022 K_Ya+b.xml_001A6|8199 0.117647
8 35976 K_Ya+b.xml_001A6|7948 0.117647
8 35877 K_Ya+b.xml_001A6|7383 0.117647
8 35385 K_Ya+b.xml_001A6|4636 0.117647
9 35712 K_Ya+b.xml_001A6|6503 0.117647
9 34681 K_Ya+b.xml_001A6|1056 0.117647
9 32826 K_Tietz+syndrom.xml_001A3|118 0.117647
9 32710 K_Terfenadin.xml_001A2|2652 0.117647
9 32164 K_Specific+social+phobi.xml_001A1|3907 0.117647
